RegionID,Full,lat,long,pop,density
394297,"Aberdeen, SD",45.4649,-98.4686,28315,661
394298,"Aberdeen, WA",46.9757,-123.8094,16571,588
394299,"Abilene, TX",32.4543,-99.7384,110993,451
394300,"Ada, OK",34.7662,-96.6681,17399,333
394302,"Adrian, MI",41.8994,-84.0447,20550,990
394304,"Akron, OH",41.0798,-81.5219,570375,1230
394305,"Alamogordo, NM",32.8837,-105.9625,31635,571
394306,"Albany, GA",31.5776,-84.1762,89323,509
394307,"Albany, OR",44.6272,-123.0965,66405,1190
394308,"Albany, NY",42.6664,-73.7987,590823,1747
394309,"Albemarle, NC",35.3594,-80.1915,16073,355
394310,"Albert Lea, MN",43.6548,-93.3643,17804,517
394311,"Albertville, AL",34.2633,-86.2108,21620,309
394312,"Albuquerque, NM",35.1054,-106.6465,762853,1155
394314,"Alexandria, LA",31.2923,-92.4702,75835,630
394315,"Alexandria, MN",45.8776,-95.3767,13705,307
394316,"Alice, TX",27.7556,-98.0653,18859,607
394318,"Allentown, PA",40.5961,-75.4756,688658,2664
394319,"Alma, MI",43.3799,-84.6556,8918,584
394320,"Alpena, MI",45.074,-83.4402,9987,471
394321,"Altoona, PA",40.5082,-78.4007,73374,1722
394322,"Altus, OK",34.6565,-99.3061,18533,392
394323,"Amarillo, TX",35.1984,-101.8316,202902,751
394324,"Americus, GA",32.0736,-84.2248,15319,521
394325,"Ames, IA",42.0256,-93.6217,65864,928
394326,"Amsterdam, NY",42.942,-74.1906,17823,1171
394327,"Anchorage, AK",61.1508,-149.1091,248902,66
394330,"Andrews, TX",32.3207,-102.552,13797,766
394331,"Angola, IN",41.6433,-85.005,8706,517
394332,"Ann Arbor, MI",42.2759,-83.731,323593,1657
394333,"Anniston, AL",33.6712,-85.8135,77690,181
394334,"Appleton, WI",44.278,-88.3892,225728,1150
394335,"Arcadia, FL",27.2215,-81.8585,8187,715
394336,"Ardmore, OK",34.1949,-97.1256,24834,192
394337,"Arkadelphia, AR",34.1253,-93.0729,10670,546
394338,"Asheville, NC",35.5707,-82.5537,312618,783
394339,"Ashland, OH",40.8668,-82.3156,20304,694
394340,"Ashtabula, OH",41.8805,-80.7984,18067,898
394341,"Astoria, OR",46.1856,-123.8053,9929,624
394342,"Hutchinson, KS",38.0671,-97.9081,40669,638
394343,"Athens, OH",39.327,-82.0987,24978,973
394344,"Athens, TN",35.4573,-84.6045,13931,346
