RegionID,RegionName,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022
102001,United States,184746.3963,185654.3099,186463.253,187383.0442,188391.871,189158.4616,189515.4366,189622.3736,189951.7882,190560.3045,191110.6501,191751.826,192390.6894,193408.4464,194802.1068,196005.7931,197237.0853,198067.2416,198576.6082,199286.1712,199866.3882,200386.7198,201006.6363,202096.3793,202953.5808,204057.9414,205221.8602,206763.0679,208001.4062,209007.9643,209775.5163,210378.271,211109.8168,212021.1315,213048.7989,214003.0913,214994.9688,216371.4235,217991.4369,219763.2291,221176.2824,222348.5146,223056.3177,223832.3589,224850.5264,225866.5004,226947.8195,228233.2754,229323.8605,230991.4135,232790.1298,234461.9196,236001.5537,237048.5129,237662.4303,238283.8225,238848.3041,239385.1049,240118.6608,240983.495,241814.3948,242800.51,243952.7467,245112.6987,246222.8333,246903.6482,247214.0133,247587.1271,248045.602,248523.2734,249024.9207,249940.9612,251097.1631,252548.034,254548.8795,256082.1543,256484.0265,257556.8571,259542.8214,261806.2793,264354.395,267300.7677,270261.0254,273018.0735,276717.4732,280537.9689,284857.4839,289760.8775,296300.0584,302674.2945,307751.7804,311887.8639,315278.3401,318648.5573,322227.276,327377.2509,332206.7901,338002.7477,344042.4331,350515.8418,354717.7229,357473.3274,357107.2716
394297,"Aberdeen, SD",136475.9629,136689.2926,137618.5076,137926.1872,138524.4469,138995.481,139608.9283,140135.6072,137377.1648,137909.4249,138513.805,139204.2129,140231.2711,140696.9999,141357.5458,141996.2082,142655.2979,143238.004,143972.8212,144578.7326,145205.0459,145748.4822,146227.5358,146859.0727,147555.357,148071.8241,148125.6681,148913.9109,149551.9981,150384.7054,151029.4093,152063.7082,152854.1315,153594.8058,153763.4079,154865.8187,155759.191,156566.8444,157400.9144,158223.426,159311.1738,160040.6403,160649.6015,161299.7763,161816.2668,162139.0238,162724.7402,162970.3717,163418.7447,164271.5119,165277.4225,165855.2738,167407.288,167924.8688,168845.5159,169063.3556,169777.0166,170388.2446,171236.9827,171557.1291,172031.0482,172238.8869,171439.6858,171914.0188,172233.242,172639.4097,173416.3608,173439.6836,174065.6393,173961.6634,173905.4186,174448.1183,173999.4428,175371.2533,175761.3521,175994.3668,174808.572,175342.3648,175716.8779,175420.0108,175287.3696,176063.2676,177415.0028,177753.4117,,186727.1869,188681.5226,190164.0715,191195.7873,193094.7072,193949.5505,194855.6626,195651.4245,195417.5314,195589.5367,204048.6076,205163.5398,210046.9445,210852.8313,212051.2461,212759.1095,217893.8719,218797.6829
394298,"Aberdeen, WA",115138.3538,115810.4302,116252.2315,116908.0387,117517.591,118028.8355,118692.2029,119273.3349,119766.0728,120486.3129,121079.5308,121790.4289,122569.8315,123589.5089,124854.9133,,128848.071,130162.0061,130655.9259,131850.2358,131697.7243,133173.7003,134148.2993,134798.4339,136889.5892,138421.9829,139369.6202,140333.1581,140936.7962,142174.4772,143759.0791,145433.0284,146115.3457,146021.2198,146960.7459,146459.7477,147414.3539,148355.8973,149764.0445,151660.9384,154002.4517,155542.3906,157240.5641,158872.072,159742.9982,160875.8271,162493.2566,163975.1079,163052.0403,163909.7285,166854.3733,169636.4281,171858.6108,174323.4938,176586.2534,177557.9018,179379.5482,180465.9984,182570.077,182988.253,184351.6474,183144.3174,185066.7048,188267.1655,189691.7529,192374.699,193925.9016,195674.2664,195687.7645,197600.6441,197651.141,198421.1284,199970.527,205325.706,209859.9089,210865.8794,215017.7167,216956.9274,221653.6931,226663.1994,232991.3527,238784.9315,241419.8324,245556.1612,242924.1855,252131.4279,256233.2868,261346.2361,265610.4578,274652.1126,282775.5689,301345.87,292029.1418,304373.542,309087.4287,317866.7268,322637.5054,331519.75,334844.0384,346845.2929,350627.2685,360713.0257,362179.8258
394299,"Abilene, TX",106504.7223,107081.9601,108617.0085,109172.5189,109980.2061,110204.1493,110846.5847,111042.7066,109635.7442,110414.3591,110622.7561,110955.7253,110492.141,110882.7101,111681.9303,112344.5262,112145.0308,112929.1636,112497.8082,110670.5518,112004.6696,113677.3533,113763.1567,114840.608,116163.4414,116663.5238,117491.6703,118014.3284,118506.7677,118992.8719,119740.2357,120214.2199,120300.0695,119235.0869,120344.0156,121200.9721,121778.6254,122414.0919,122292.328,122686.5006,122532.971,123458.4068,124127.9962,124221.0767,124994.1584,123340.1641,123503.3545,124619.158,125861.8081,127451.865,128975.3338,129864.7553,130946.0812,131564.2762,131842.4052,132327.2543,131146.0583,132132.6778,132291.3801,132932.0515,133213.7445,133638.9753,134681.4928,135632.7068,135801.3769,135843.4956,136443.6925,138664.9093,137964.8759,136984.5566,134264.2727,135010.0144,135765.2938,136872.9998,138195.667,139061.6608,139975.859,141189.4472,142229.0872,143522.4477,144290.5512,145023.4032,145842.4833,146688.4087,147974.6659,149096.3399,150891.4571,153106.757,156420.8715,158569.1967,162328.6293,163151.6363,165054.6421,167179.0376,169283.784,170588.2338,172356.7274,175445.1012,177997.1166,181141.9096,183210.9892,184159.9265,184979.1644
394300,"Ada, OK",84273.45266,84532.00044,85123.0253,85666.32304,86310.13243,86591.3199,84241.34695,84702.42279,85137.50051,80891.34767,81096.43425,84554.41391,84879.82716,85374.94743,85522.7277,85961.99386,86559.79906,87481.61284,88298.29806,88663.742,89374.44548,89317.66202,89959.02249,90492.97241,91082.80267,91438.25934,92258.28797,92748.85389,93313.7997,93989.62293,95175.69245,95619.48919,95781.39898,96174.78102,92321.53591,93069.37015,93914.91668,94319.38704,94353.23359,95178.31161,95793.57222,96536.34099,97336.67702,97681.48844,98146.95449,98625.02294,99251.07587,99464.56394,99685.56095,100328.8373,100826.1833,101559.7395,102031.6893,102937.002,103552.1808,103745.9756,104616.1497,100284.7088,100503.4908,96787.28831,97160.9445,97628.1696,97844.52742,98325.79139,98862.38959,99696.8722,100589.158,101400.1173,101718.1335,102348.9787,105384.6355,105813.8136,106436.0057,105615.5193,106112.2363,106530.0173,103120.9177,103995.6238,105464.6752,106317.6942,107228.5847,107791.3656,109172.7259,109510.2388,112713.343,113847.3429,115242.8243,117071.9676,115344.2918,116590.3096,118132.2079,119559.8435,121080.1407,121062.5438,122333.4436,129105.6253,129562.2664,130662.1291,131678.1134,133120.1066,134055.7561,135281.1067,136864.9589
394302,"Adrian, MI",113877.4903,114015.5157,114475.2527,116522.0438,119149.9308,120048.7171,118928.9091,119567.1755,119543.0393,117921.6774,118916.2388,119447.2481,120973.6772,120967.3759,121833.3826,122628.1405,123338.3669,123285.7793,125027.0293,125569.6337,126216.5268,127084.6817,126985.3097,128152.2384,128491.9552,128914.8176,130045.0998,131725.1453,132806.2749,131611.3468,133155.5143,133784.0482,135550.1042,135423.6609,136438.1992,136817.9431,138113.9031,139567.637,141299.5845,143257.4441,145392.6267,146116.8239,145489.5366,145910.3714,146663.228,146636.6349,147753.3347,148450.1445,149238.4529,150534.7507,151622.8448,152761.6645,152828.3594,152667.6834,151782.6543,152644.3985,152101.1487,152548.1789,152701.1638,152863.2972,153929.6096,154675.0709,155112.7636,157182.6603,159833.2907,159384.9775,160900.9465,160708.4993,161595.7453,162821.1665,162986.3564,163790.375,162833.0422,162772.0758,164170.4022,164176.6907,165034.199,165602.4497,167523.4334,169371.5112,171480.9985,172235.6704,173420.712,174017.5786,173445.9674,177118.8072,179082.0505,183603.6707,186951.4387,190471.2396,193523.5358,197095.7574,200112.028,203918.0314,207855.3604,210015.6469,209573.9423,215130.6737,219047.0644,223915.861,228480.0197,231114.4279,231338.2747
394304,"Akron, OH",121647.0273,121614.6234,120628.5578,121287.009,121640.2825,122517.8942,122955.985,122413.3993,122222.6263,121748.2026,121522.024,122173.3166,120746.1831,121676.4726,122960.5652,123226.3592,125315.4754,125606.911,126026.0122,126883.348,126773.8916,125388.4761,126829.589,125853.1049,126721.003,127052.1157,127398.4612,128032.7074,129529.8059,129579.6614,129879.4817,129609.2562,130155.4393,130309.3308,130997.3355,131978.9279,132429.0205,133122.5649,133330.5242,135601.0069,135554.2851,137785.4859,137275.5708,138521.0655,138895.6255,140200.8905,140818.5733,140856.0593,138130.4156,140773.7042,142752.7295,144424.2766,144467.2275,143616.2613,145561.2249,145754.1765,145401.2715,145766.1637,146894.7554,146419.8229,147213.9304,148542.644,148650.9607,149939.5161,151195.0517,153802.9472,153747.3075,153199.8065,153923.8669,153124.0023,153027.3634,154182.5771,154196.1622,155867.6422,158635.2273,158956.023,159767.497,161594.8578,163267.6202,164226.5931,164821.4768,167384.5142,169405.007,168833.9126,171858.7989,172644.1988,175445.2682,178017.0517,181774.3515,183933.0827,186962.8257,187254.1025,189110.3763,189633.5197,192536.3263,193465.4051,194131.1194,197936.1373,200408.5779,203606.6539,208438.8932,209567.4178,209801.7185
394305,"Alamogordo, NM",,,,,,,,,,,,,115033.6875,114966.8346,115445.2839,114222.2715,114199.5161,113963.9119,115379.2536,114924.6167,114568.1059,115009.4394,115425.0852,115682.2642,116508.7246,116441.7589,116637.4382,117400.1981,118002.3305,117931.2808,118696.7479,118788.7297,120242.5378,119895.8179,119969.04,120647.3471,120460.9143,120938.5277,121585.4092,121623.4155,122459.6731,122321.0889,121328.1353,120796.447,121111.6967,121793.3047,122063.293,122773.4516,123022.0581,123700.0834,123839.5219,124332.7525,124537.2917,124858.8718,125002.7408,125296.3432,125598.7392,126092.9791,126524.9235,126792.0639,127382.0083,128029.0091,128846.9477,129544.6151,130608.9575,130755.8039,131598.1989,131891.9287,132400.5097,,,138230.3073,138449.809,138203.335,138668.7926,139135.8772,139759.3889,140243.1218,140819.1231,141230.6286,141615.5748,141609.0306,143835.4278,144593.491,148839.2673,150166.0145,150530.6931,151906.3638,153011.6108,155071.7497,155695.3877,157509.4475,158223.5204,156570.3615,157360.0191,166325.8917,166808.7318,169107.8275,169556.9894,170199.8659,171280.5978,174683.2414,175260.924
394306,"Albany, GA",87008.63895,87481.25186,87932.6971,88391.57313,88798.86728,89397.71051,89566.88854,89894.63718,90408.61903,90637.96727,91099.85832,91526.2378,91784.25756,92147.69975,92674.22176,93159.0959,93694.21196,94051.96002,94352.68936,94549.64102,95026.9394,95357.23228,95854.94333,96406.81789,96895.67114,97316.93754,97668.76336,98018.65129,98380.36582,98626.21726,99003.29741,99310.03942,99515.51771,99805.4219,100314.3518,100567.4055,101146.0219,101404.8822,101876.0299,102429.3302,102447.7809,102782.8566,103060.8673,103351.0478,103837.2059,104314.6392,104778.5914,105404.3519,106253.3606,106794.5406,107322.085,107686.9857,108137.428,108279.471,108590.1778,108579.8699,108620.0044,108842.4064,109342.5378,109885.4725,110366.5732,110822.4034,111383.6776,111506.1149,111912.9124,112601.824,112903.4328,112893.2996,113160.7325,113145.7711,,111034.9914,111108.6523,111895.6045,111867.2827,112108.1611,112419.6005,112451.8992,112397.0211,111679.2753,111672.4238,112021.5626,113868.8799,114173.1985,,119485.0327,120387.941,121948.2302,123017.3868,124255.0141,125215.1186,126034.4036,126853.0262,127040.3772,127350.2425,134549.0857,135261.2905,139021.5629,139428.6234,140274.5406,140867.7727,145351.5549,146108.4462
394307,"Albany, OR",169983.1398,170353.3392,170859.1099,172021.7008,172780.1785,173286.9489,174091.2229,175223.0907,176162.5317,175964.7319,176650.2395,176914.1125,178459.8346,179919.6619,181576.6844,183323.5633,185169.7366,187046.5964,190023.8329,183833.8596,186663.6101,187777.468,190137.5633,190557.9318,192341.2597,193300.0396,195485.0987,197789.912,200110.571,201687.4388,204376.2431,206454.1604,208179.0601,209568.0161,209544.789,211201.7923,213190.7097,217430.5574,219256.449,222884.5413,227287.9024,230860.6038,232867.6381,235895.078,238654.4711,238781.4049,240577.0201,240981.5407,243487.1197,249229.6329,251957.0717,254396.3223,257765.0031,259284.4482,260016.7943,260838.9715,263042.5457,263518.5926,265952.777,267222.7417,269533.1348,271291.9122,271483.3134,273449.2051,274195.1258,276167.8637,277599.5744,280540.9089,280647.873,283084.0371,282158.8687,282102.1216,286135.8012,285600.2054,290445.6476,291884.7684,293854.3118,295159.017,299337.3046,299812.3823,302975.2262,306575.8871,310907.2654,316197.8776,320676.1072,324364.0077,329834.8417,335377.5476,340876.9236,351783.1445,356873.126,365618.9038,368905.5767,375362.1284,379174.3488,384699.8165,389899.174,397629.5756,403531.795,410780.7766,414259.4565,415288.8428,412242.0427
