RegionID,RegionName,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022
102001,United States,184746.3963,185654.3099,186463.253,187383.0442,188391.871,189158.4616,189515.4366,189622.3736,189951.7882,190560.3045,191110.6501,191751.826,192390.6894,193408.4464,194802.1068,196005.7931,197237.0853,198067.2416,198576.6082,199286.1712,199866.3882,200386.7198,201006.6363,202096.3793,202953.5808,204057.9414,205221.8602,206763.0679,208001.4062,209007.9643,209775.5163,210378.271,211109.8168,212021.1315,213048.7989,214003.0913,214994.9688,216371.4235,217991.4369,219763.2291,221176.2824,222348.5146,223056.3177,223832.3589,224850.5264,225866.5004,226947.8195,228233.2754,229323.8605,230991.4135,232790.1298,234461.9196,236001.5537,237048.5129,237662.4303,238283.8225,238848.3041,239385.1049,240118.6608,240983.495,241814.3948,242800.51,243952.7467,245112.6987,246222.8333,246903.6482,247214.0133,247587.1271,248045.602,248523.2734,249024.9207,249940.9612,251097.1631,252548.034,254548.8795,256082.1543,256484.0265,257556.8571,259542.8214,261806.2793,264354.395,267300.7677,270261.0254,273018.0735,276717.4732,280537.9689,284857.4839,289760.8775,296300.0584,302674.2945,307751.7804,311887.8639,315278.3401,318648.5573,322227.276,327377.2509,332206.7901,338002.7477,344042.4331,350515.8418,354717.7229,357473.3274,357107.2716
394304,"Akron, OH",121647.0273,121614.6234,120628.5578,121287.009,121640.2825,122517.8942,122955.985,122413.3993,122222.6263,121748.2026,121522.024,122173.3166,120746.1831,121676.4726,122960.5652,123226.3592,125315.4754,125606.911,126026.0122,126883.348,126773.8916,125388.4761,126829.589,125853.1049,126721.003,127052.1157,127398.4612,128032.7074,129529.8059,129579.6614,129879.4817,129609.2562,130155.4393,130309.3308,130997.3355,131978.9279,132429.0205,133122.5649,133330.5242,135601.0069,135554.2851,137785.4859,137275.5708,138521.0655,138895.6255,140200.8905,140818.5733,140856.0593,138130.4156,140773.7042,142752.7295,144424.2766,144467.2275,143616.2613,145561.2249,145754.1765,145401.2715,145766.1637,146894.7554,146419.8229,147213.9304,148542.644,148650.9607,149939.5161,151195.0517,153802.9472,153747.3075,153199.8065,153923.8669,153124.0023,153027.3634,154182.5771,154196.1622,155867.6422,158635.2273,158956.023,159767.497,161594.8578,163267.6202,164226.5931,164821.4768,167384.5142,169405.007,168833.9126,171858.7989,172644.1988,175445.2682,178017.0517,181774.3515,183933.0827,186962.8257,187254.1025,189110.3763,189633.5197,192536.3263,193465.4051,194131.1194,197936.1373,200408.5779,203606.6539,208438.8932,209567.4178,209801.7185
394308,"Albany, NY",181151.4483,180187.5154,180760.9046,180747.0875,182044.5992,182837.1511,182153.0454,181555.1204,180111.2118,179223.618,178679.6552,179659.712,179267.4471,178761.6608,179491.4606,179979.5924,180855.2327,181894.7784,182250.5916,182381.482,181973.8759,181934.5944,182923.2545,182210.7767,180858.163,181390.1873,181935.9331,182948.3323,184090.5687,184358.3751,185053.3528,184592.4726,185487.1573,185764.5711,186750.6898,186240.8509,186713.4971,186896.7221,187361.2453,188194.0935,188685.3569,190663.0773,190320.7132,190116.6382,190701.8563,190908.2406,191400.8362,192264.7349,193922.4631,194644.3541,196508.743,198592.6494,200341.5361,201085.0314,200846.3049,202853.1411,202884.8464,201219.1527,201273.2161,201645.5387,202443.7219,203840.8171,204857.1236,205198.2035,206291.416,205966.9723,205577.3754,204969.0051,205313.5063,204386.3705,206334.7924,207833.6774,206789.4289,206739.9987,208094.0059,208393.626,211354.347,211789.6594,213101.5372,215360.5824,216915.5234,220114.4202,221194.3674,225046.1489,227986.9554,232084.3048,234028.9527,236767.2428,239473.8102,245676.9503,248488.1262,251104.3367,252442.3439,253952.1897,257960.7674,258454.1751,259820.9331,260708.1533,265935.1309,271281.1143,274213.3288,275870.6161,278700.2822
394312,"Albuquerque, NM",178288.7234,177375.2674,177036.5781,177259.8402,177528.4902,177103.8064,177189.2707,176438.2396,176495.4881,176938.2489,178518.0597,177397.8677,176875.0321,177552.5778,177185.6968,178202.4198,178721.2322,179477.0355,180583.6573,180721.5424,179623.0992,178462.1417,177301.1453,177928.0308,179574.8097,180905.4833,183025.3286,183680.382,184413.5165,184988.6645,184902.6332,183404.7526,184152.7608,185934.3973,186267.5036,187345.918,186705.1832,187227.2501,187152.1937,189772.6943,189982.8941,190740.8826,191790.6024,191766.5968,191702.3577,191147.7647,192155.918,191705.4463,192615.7186,194657.268,196453.0625,197533.5928,198935.1581,198823.1965,196913.0377,198514.4412,198254.92,199644.4823,200226.0367,201518.6956,202701.9504,202945.1133,204330.3049,206435.5236,207294.6221,208682.491,209953.6939,210302.2755,211360.7071,210950.905,212385.0547,214553.8343,215597.6185,217273.8568,220298.2569,222526.8518,224700.8659,225392.8775,228071.5802,229749.1279,231749.9403,234074.5422,238659.9308,240733.4493,245333.2229,250100.6685,253330.537,256506.9566,263654.4119,268088.0191,272682.4989,274582.5589,276866.8787,280397.1881,284784.0887,289258.8745,294944.0802,299711.9681,305670.0069,310472.9751,313870.9153,318421.7814,316867.5574
394318,"Allentown, PA",181715.6045,181497.4944,182293.0625,182198.9796,182798.188,185247.9376,184345.182,183480.8236,182733.5874,182669.0846,182027.6898,181508.7101,181232.7459,179669.5151,181695.8383,183288.406,184558.3847,184266.686,184542.2032,184206.925,184352.3503,184172.7689,184027.8378,184193.2247,184254.3417,186010.1761,186072.5796,186846.4353,188181.1721,188815.3706,188899.7304,188966.1038,188245.0787,188155.9779,189298.2381,189184.9882,190118.1584,190916.6811,191641.2091,191966.8878,193268.1926,194189.1135,194240.4245,194844.3813,195352.4268,196607.6139,196431.1666,197614.3667,198357.3331,199977.5125,201350.3887,203098.2182,205156.2748,206109.5991,206532.8728,206814.0715,206912.2023,207717.2131,207861.7803,208020.7051,209428.7057,208449.8552,209877.8846,210356.719,212331.3682,213241.0547,212770.0955,212439.7383,212937.8893,212882.1474,213562.0514,212749.9926,215369.6092,215810.2834,217140.8653,219319.3129,220066.9333,221967.1593,224788.5279,227268.5518,230009.1669,233962.4471,237660.5976,240972.9347,243530.3907,247554.946,250818.5606,255547.6432,261931.6565,267304.861,268859.5375,272489.5195,275549.4485,276668.1071,280017.5554,282748.6595,286286.0737,289791.2533,295034.375,298977.5124,301498.6693,303941.589,305625.6105
394347,"Atlanta, GA",163486.8298,164986.8566,166451.8102,167565.546,168788.0329,169649.5872,170898.9189,171141.8387,171518.0642,172395.3434,173099.258,173618.7267,174451.0497,175229.8132,176116.9712,177994.5233,179639.3587,180592.0859,180857.0774,181982.3437,182512.6051,182865.7776,184214.9261,184690.4778,185821.4033,187370.1303,189497.7334,191300.5594,192279.7582,192744.0648,193236.9637,193753.8802,193657.7926,195569.3119,196966.7917,198238.0639,198679.2912,200798.0204,202281.3046,203785.8542,205791.826,207303.2729,208389.0137,208981.8709,211190.235,212118.6195,213877.348,216259.3576,217704.3575,219732.9651,221540.835,223460.108,225171.6283,226773.2819,228117.1211,229189.7471,230726.7233,232313.9873,233359.5004,234198.2091,234642.8126,236151.4997,238617.5517,239861.4578,240510.6158,240574.2861,241601.9037,242402.3156,242798.1271,243375.7079,244381.9251,245458.0728,246207.8517,248606.1493,249917.1843,251165.1144,251697.8971,253186.6387,255304.1352,257325.3395,259983.4614,263107.0973,266217.157,269803.1799,272499.9076,277955.1389,282549.5783,288632.2117,295795.9235,304018.0084,311179.4006,317773.8556,324283.4616,332482.3858,339652.6287,347253.9717,353489.7705,359169.0039,368706.2486,377364.5074,381967.0931,384784.6896,383508.9229
394352,"Augusta, GA",125126.6056,125259.5335,125025.335,125665.8908,125979.2217,125921.8106,126123.2206,126240.6994,126491.6292,126674.8666,126789.4596,126871.0783,127346.5605,127948.5927,128216.5596,128319.9477,129192.4364,129990.4481,130385.9298,130788.2347,131158.2327,131382.1711,131765.167,132605.2986,132978.2653,133702.4911,133584.0218,134247.2794,134927.1598,135147.3847,135379.8585,135304.2613,135168.9057,134992.6318,135061.4446,134976.83,135012.792,135192.0717,135342.771,135916.6236,136555.4021,137154.3832,138436.2912,139197.1054,140351.5479,140858.5661,141287.3943,142789.1809,143593.5645,144467.4832,145559.0851,146396.6728,147229.3472,147886.1855,148597.1557,149457.6893,149970.6624,150694.2927,151681.2763,152079.7302,152035.453,152877.7644,153725.6042,153771.1122,154251.5354,154786.2564,155032.9177,155149.4803,155519.9242,155825.7652,155748.9666,156604.8644,157332.4252,157673.2834,159622.9191,161120.2104,162513.0465,163751.9636,165575.7367,166630.5549,168025.5064,169939.2403,171275.0983,173161.7026,175486.442,177708.1203,179345.8128,181994.6625,184921.2054,187891.1782,190497.0587,192874.9708,195727.7194,198073.9132,200973.2333,205483.5198,208306.028,211432.5985,213450.2836,216297.1105,219962.6746,222980.9159,225012.08
394355,"Austin, TX",237326.3165,240339.939,242945.4149,245175.5006,247576.7589,248936.8496,250046.0505,251797.8469,253443.0625,254258.8739,256803.6196,258501.3386,259319.4545,261088.4737,263406.524,265358.4453,267838.4172,269089.034,271587.2531,272484.1204,273611.1305,275406.3006,276722.0746,279682.4878,282066.5285,283413.6731,286012.4698,287220.9912,287993.5986,289595.5481,291492.5332,289800.4581,291603.0679,294800.3668,296245.8958,297112.8157,297778.9065,299396.4041,301936.0008,303944.8453,304936.8099,305731.8387,304839.9487,304765.3809,305254.8627,307026.9067,309408.1644,310890.7353,311890.2211,312126.8253,314347.0732,315278.6859,316108.9375,318360.0098,318124.0122,319791.9855,319098.9247,320317.997,319826.0898,322464.2025,326005.3928,328776.7942,329086.8372,330902.2145,331948.3218,331807.7025,332450.3444,333079.6767,334619.6523,330238.1088,332390.2137,335147.8455,337804.8001,338714.8919,344008.8036,347910.8869,348638.9551,349129.2981,353191.2812,356910.0289,363366.7127,368241.6574,376288.9516,381157.7336,386067.38,408719.2907,429977.2312,454431.6705,476616.6935,501198.7769,513056.9353,520257.8468,521327.7064,529582.6635,540590.6964,556408.3177,568998.2477,583129.4901,593633.0017,599945.0896,603263.2392,582090.8126,566533.4028
394357,"Bakersfield, CA",182340.6854,183804.0273,186204.0936,186822.816,184742.9053,184958.1486,186593.3364,182932.014,186577.3154,188725.4733,189194.913,190464.7626,191217.1179,191258.2485,192666.0013,193700.191,194926.7118,195326.6534,190467.8747,193277.7273,193630.269,193729.4573,196487.3361,197263.9641,197369.0685,200217.5664,198861.1187,199732.655,201045.7247,201561.0839,197376.8645,197592.1327,198393.2934,201306.8699,202080.5169,203178.6938,206386.2705,206191.3271,207048.8508,207706.8711,208245.5717,209514.1698,206281.9832,207804.3451,210651.083,209937.6019,213072.8058,214554.0925,213900.8509,216781.7793,217408.0969,219876.4941,222691.9319,221204.9671,216698.372,219572.8635,219546.209,222446.4065,222003.292,223742.026,227578.3264,227183.1533,226840.3944,228425.3535,229832.5484,230926.2737,227929.409,229367.3602,229890.2336,230775.067,233810.3562,233407.4896,234205.9274,237955.8993,241648.8054,241857.3587,240837.8117,242867.1744,244878.6896,246245.0975,249829.1827,252614.5746,257169.9232,264789.307,266776.0832,269953.5911,271695.0711,279340.478,283384.8974,290504.2732,295053.3491,301689.835,307697.9944,313733.11,313812.4442,314602.3638,320083.7815,328652.1859,333178.9063,338558.3776,341714.704,343951.3911,342798.8926
394358,"Baltimore, MD",268360.3621,269001.6023,268893.7962,271663.6878,270566.6842,270828.689,269916.154,270177.8847,268223.522,268471.0603,267515.6334,266440.7768,266916.7149,267402.8101,268106.4871,268369.5039,270337.9859,269699.1134,268554.7213,269555.8535,270071.663,268966.9018,267485.6132,269117.0241,269010.1464,270751.7314,271357.1005,274088.3695,276328.2833,275437.711,276261.4361,276431.2028,277475.3415,277361.5741,278749.1766,279041.2043,279217.2498,280017.3586,281540.6576,285413.4198,285256.9835,285904.115,284121.5864,283784.6884,284654.3797,285068.0799,285723.5741,286821.5993,287205.1065,288311.8623,291366.8191,293010.0811,293787.4557,294846.4658,294626.5188,293932.1541,294334.306,293245.4646,293319.2603,292761.4645,293428.4142,294735.5692,295611.5068,297550.8815,298805.2765,298379.2222,298188.4547,297212.7227,296039.0272,295757.9641,296110.6997,296237.6013,297172.9607,297231.2279,300087.9124,301722.9342,302292.5135,304146.47,306806.9451,309269.2142,312053.3338,316106.2534,318530.4599,321905.1867,323070.1741,328057.2411,333078.9331,338082.3164,341642.2521,347408.4983,350061.7573,350324.2446,351662.4082,352702.704,355634.4292,356791.1462,360347.8808,365256.4731,370191.5668,375435.9752,377171.7966,378638.2408,378970.1431
